stratifications,stratifying_by,n_unsuppressed_estimates,estimate_range,ethnicity,race,sex,education,poverty,FMD_prev_1993,FMD_prev_1993_rank,FMD_prev_2019,FMD_prev_2019_rank,FMD_prev_change_1993_2019,FMD_prev_annual_change,FMD_prev_annual_change_rank,FMD_ineq_abs_1993,FMD_ineq_abs_1993_rank,FMD_ineq_abs_2019,FMD_ineq_abs_2019_rank,FMD_ineq_abs_change_1993_2019,FMD_ineq_abs_annual_change,FMD_ineq_abs_annual_change_rank,FMD_ineq_mult_1993,FMD_ineq_mult_1993_rank,FMD_ineq_mult_2019,FMD_ineq_mult_2019_rank,FMD_ineq_mult_change_1993_2019,FMD_ineq_mult_annual_change,FMD_ineq_mult_annual_change_rank
2,"Race, Education",26,1993-2019,All,White,All,>=HS,All,8.04 (95% CI: 7.72 to 8.35),1,14.2 (95% CI: 13.9 to 14.5),1,6.18,0.238,3,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,3,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,4
2,"Race, Education",26,1993-2019,All,Black,All,>=HS,All,9.12 (95% CI: 8.17 to 10.1),2,15 (95% CI: 14.1 to 15.9),2,5.89,0.227,2,1.08 (95% CI: 0.0711 to 2.06),2,0.788 (95% CI: -0.309 to 1.79),200,-0.287,-0.0111,2,13.4 (95% CI: 0.89 to 25.7),2,5.55 (95% CI: -2.14 to 12.8),2,-7.86,99.6,3
2,"Race, Education",26,1993-2019,All,Black,All,<HS,All,15.3 (95% CI: 12.7 to 18.1),4,20.8 (95% CI: 17.4 to 23.8),3,5.53,0.213,1,7.23 (95% CI: 4.71 to 9.9),4,6.58 (95% CI: 3.16 to 9.59),300,-0.648,-0.0249,1,89.9 (95% CI: 59.4 to 123),4,46.3 (95% CI: 22.2 to 66.8),3,-43.6,98.4,1
2,"Race, Education",26,1993-2019,All,White,All,<HS,All,14.1 (95% CI: 12.4 to 15.9),3,21.7 (95% CI: 20.2 to 23.1),4,7.6,0.292,4,6.03 (95% CI: 4.34 to 7.92),3,7.45 (95% CI: 5.97 to 8.9),400,1.43,0.0549,4,75 (95% CI: 54 to 99.8),3,52.4 (95% CI: 41.4 to 63),4,-22.6,99.2,2
2,"Race, Ethnicity",26,1993-2019,Hispanic,White,All,All,All,10.4 (95% CI: 8.15 to 13),3,13.1 (95% CI: 12 to 14.2),1,2.74,0.105,1,1.83 (95% CI: -0.361 to 4.53),3,-2.16 (95% CI: -3.42 to -1.06),100,-3.99,-0.153,1,21.4 (95% CI: -4.24 to 53),3,-14.1 (95% CI: -22.2 to -6.96),1,-35.6,98.4,2
2,"Race, Ethnicity",26,1993-2019,Hispanic,Black,All,All,All,12.1 (95% CI: 7.24 to 18.7),4,14.9 (95% CI: 11.6 to 18.9),2,2.84,0.109,2,3.54 (95% CI: -1.19 to 10),4,-0.348 (95% CI: -3.67 to 3.72),200,-3.89,-0.15,2,41.5 (95% CI: -14.2 to 116),4,-2.27 (95% CI: -24 to 24.1),2,-43.7,93,1
2,"Race, Ethnicity",26,1993-2019,Non-Hispanic,White,All,All,All,8.54 (95% CI: 8.21 to 8.88),1,15.3 (95% CI: 15 to 15.6),3,6.73,0.259,4,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),300,0,0,4,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),3,0,100,4
2,"Race, Ethnicity",26,1993-2019,Non-Hispanic,Black,All,All,All,10.1 (95% CI: 9.16 to 11),2,15.7 (95% CI: 14.8 to 16.6),4,5.6,0.215,3,1.55 (95% CI: 0.569 to 2.57),2,0.42 (95% CI: -0.623 to 1.42),400,-1.13,-0.0433,3,18.1 (95% CI: 6.66 to 30.4),2,2.76 (95% CI: -4.04 to 9.37),4,-15.4,99.3,3
2,"Race, Poverty Status",26,1993-2019,All,White,All,All,Not In Poverty,7.57 (95% CI: 7.26 to 7.87),1,13 (95% CI: 12.7 to 13.3),1,5.43,0.209,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,4
2,"Race, Poverty Status",26,1993-2019,All,Black,All,All,Not In Poverty,8.35 (95% CI: 7.29 to 9.4),2,13.7 (95% CI: 12.6 to 14.7),2,5.3,0.204,1,0.783 (95% CI: -0.31 to 1.9),2,0.658 (95% CI: -0.413 to 1.72),200,-0.125,-0.00481,1,10.4 (95% CI: -4.05 to 25.2),2,5.08 (95% CI: -3.14 to 13.5),2,-5.32,99.6,2
2,"Race, Poverty Status",26,1993-2019,All,Black,All,All,In Poverty,14.5 (95% CI: 12.2 to 16.5),3,21.2 (95% CI: 19 to 23.2),3,6.74,0.259,3,6.9 (95% CI: 4.62 to 8.92),3,8.22 (95% CI: 5.94 to 10.2),300,1.32,0.0507,3,91.3 (95% CI: 60.9 to 120),3,63.3 (95% CI: 46 to 79.5),3,-28,99.2,1
2,"Race, Poverty Status",26,1993-2019,All,White,All,All,In Poverty,16 (95% CI: 14.4 to 17.8),4,26.1 (95% CI: 25 to 27.3),4,10.1,0.389,4,8.46 (95% CI: 6.8 to 10.3),4,13.1 (95% CI: 12 to 14.3),400,4.69,0.18,4,112 (95% CI: 88.9 to 138),4,101 (95% CI: 91.4 to 111),4,-10.7,99.7,3
2,"Race, Sex",26,1993-2019,All,White,Male,All,All,6.97 (95% CI: 6.46 to 7.46),1,12.3 (95% CI: 11.9 to 12.7),1,5.33,0.205,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,4
2,"Race, Sex",26,1993-2019,All,Black,Male,All,All,8.3 (95% CI: 7.04 to 9.75),2,13.9 (95% CI: 12.6 to 15.3),2,5.63,0.217,3,1.33 (95% CI: -0.0337 to 2.88),2,1.63 (95% CI: 0.224 to 3.04),200,0.299,0.0115,3,19.3 (95% CI: -0.489 to 43.3),2,13.3 (95% CI: 1.78 to 25.1),2,-5.99,99.6,2
2,"Race, Sex",26,1993-2019,All,Black,Female,All,All,11.8 (95% CI: 10.6 to 13),4,17.1 (95% CI: 16 to 18.3),3,5.33,0.205,1,4.8 (95% CI: 3.47 to 6.15),4,4.79 (95% CI: 3.54 to 6.05),300,-0.00261,-1.01e-4,1,69.1 (95% CI: 48.2 to 92),4,39 (95% CI: 28 to 49.7),3,-30,98.9,1
2,"Race, Sex",26,1993-2019,All,White,Female,All,All,10.4 (95% CI: 9.94 to 10.9),3,17.6 (95% CI: 17.1 to 18.1),4,7.24,0.278,4,3.42 (95% CI: 2.68 to 4.19),3,5.32 (95% CI: 4.66 to 5.99),400,1.91,0.0733,4,49.2 (95% CI: 36.2 to 64.2),3,43.3 (95% CI: 37.3 to 49.4),4,-5.94,99.7,3
2,"Sex, Education",26,1993-2019,All,All,Male,>=HS,All,6.4 (95% CI: 6.01 to 6.79),1,11.8 (95% CI: 11.4 to 12.2),1,5.42,0.208,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,4
2,"Sex, Education",26,1993-2019,All,All,Female,>=HS,All,9.89 (95% CI: 9.41 to 10.4),2,16.8 (95% CI: 16.4 to 17.2),2,6.88,0.265,3,3.49 (95% CI: 2.86 to 4.16),2,4.95 (95% CI: 4.36 to 5.48),200,1.47,0.0564,3,54.7 (95% CI: 42.7 to 67.7),2,42 (95% CI: 36 to 47.7),2,-12.7,99.5,3
2,"Sex, Education",26,1993-2019,All,All,Male,<HS,All,12.7 (95% CI: 10.5 to 15.5),3,18.4 (95% CI: 16.7 to 20.2),3,5.64,0.217,2,6.35 (95% CI: 4.18 to 9.2),3,6.57 (95% CI: 4.9 to 8.51),300,0.225,0.00864,2,99.4 (95% CI: 63.4 to 150),3,55.7 (95% CI: 41.8 to 72.4),3,-43.7,98.7,1
2,"Sex, Education",26,1993-2019,All,All,Female,<HS,All,15.7 (95% CI: 14.4 to 17.2),4,25.3 (95% CI: 23.4 to 27.3),4,9.54,0.367,4,9.34 (95% CI: 7.93 to 10.8),4,13.5 (95% CI: 11.4 to 15.6),400,4.12,0.158,4,146 (95% CI: 120 to 175),4,114 (95% CI: 96 to 132),4,-32.2,99.1,2
2,"Sex, Poverty Status",26,1993-2019,All,All,Male,All,Not In Poverty,6.08 (95% CI: 5.69 to 6.5),1,11.1 (95% CI: 10.7 to 11.5),1,5.02,0.193,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,4
2,"Sex, Poverty Status",26,1993-2019,All,All,Female,All,Not In Poverty,9.28 (95% CI: 8.84 to 9.71),2,15.2 (95% CI: 14.7 to 15.7),2,5.93,0.228,2,3.2 (95% CI: 2.59 to 3.79),2,4.11 (95% CI: 3.44 to 4.73),200,0.911,0.035,2,52.8 (95% CI: 41.1 to 66.4),2,37.1 (95% CI: 30.3 to 43.5),2,-15.7,99.5,3
2,"Sex, Poverty Status",26,1993-2019,All,All,Male,All,In Poverty,14.5 (95% CI: 12 to 17.6),3,22.1 (95% CI: 20.7 to 23.4),3,7.63,0.293,3,8.4 (95% CI: 6 to 11.6),3,11 (95% CI: 9.6 to 12.4),300,2.61,0.1,3,138 (95% CI: 97.1 to 192),3,99.2 (95% CI: 85.2 to 114),3,-39.2,98.9,1
2,"Sex, Poverty Status",26,1993-2019,All,All,Female,All,In Poverty,16.5 (95% CI: 15.1 to 18.1),4,26.8 (95% CI: 25.4 to 28),4,10.2,0.393,4,10.5 (95% CI: 9.01 to 11.9),4,15.7 (95% CI: 14.2 to 17),400,5.2,0.2,4,172 (95% CI: 144 to 202),4,141 (95% CI: 126 to 156),4,-31.2,99.3,2
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Hispanic,All,All,<HS,Not In Poverty,12.3 (95% CI: 7.04 to 18.3),5,9.12 (95% CI: 6.31 to 12.8),1,-3.21,-0.124,2,4.98 (95% CI: -0.34 to 10.9),5,-3.5 (95% CI: -6.3 to -0.0039),100,-8.48,-0.326,2,67.8 (95% CI: -4.63 to 148),5,-27.7 (95% CI: -50.1 to -0.0304),1,-95.5,94.7,2
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Non-Hispanic,All,All,>=HS,Not In Poverty,7.35 (95% CI: 7.03 to 7.67),2,12.6 (95% CI: 12.3 to 12.9),2,5.27,0.203,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),200,0,0,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),2,0,100,5
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Hispanic,All,All,>=HS,Not In Poverty,6.87 (95% CI: 5.4 to 8.61),1,12.6 (95% CI: 11.2 to 14.2),3,5.76,0.222,5,-0.482 (95% CI: -2.05 to 1.42),1,0.011 (95% CI: -1.47 to 1.56),300,0.493,0.019,5,-6.48 (95% CI: -27.5 to 19.2),1,0.0996 (95% CI: -11.4 to 12.3),3,6.58,99.4,4
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Hispanic,All,All,<HS,In Poverty,20.2 (95% CI: 12 to 32.3),8,12.8 (95% CI: 10.3 to 15.3),4,-7.4,-0.285,1,12.8 (95% CI: 4.54 to 24.9),8,0.158 (95% CI: -2.4 to 2.65),400,-12.7,-0.487,1,175 (95% CI: 60.3 to 338),8,1.26 (95% CI: -18.8 to 21.1),4,-173,94.2,1
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Hispanic,All,All,>=HS,In Poverty,11.7 (95% CI: 7.57 to 16.8),4,17.1 (95% CI: 14.5 to 19.7),5,5.37,0.207,4,4.37 (95% CI: 0.267 to 9.41),4,4.47 (95% CI: 1.77 to 7.1),500,0.105,0.00405,4,59.5 (95% CI: 3.74 to 128),4,35.5 (95% CI: 13.8 to 57),5,-24,97.7,3
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Non-Hispanic,All,All,<HS,Not In Poverty,11.1 (95% CI: 9.87 to 12.6),3,23.6 (95% CI: 21.4 to 25.8),6,12.4,0.478,6,3.78 (95% CI: 2.44 to 5.22),3,11 (95% CI: 8.73 to 13.2),600,7.17,0.276,6,51.5 (95% CI: 32.7 to 71),3,86.8 (95% CI: 68.7 to 106),6,35.3,101,8
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Non-Hispanic,All,All,>=HS,In Poverty,14.7 (95% CI: 13.3 to 16.2),6,28.3 (95% CI: 27.2 to 29.5),7,13.6,0.523,7,7.36 (95% CI: 5.85 to 9.05),6,15.7 (95% CI: 14.4 to 16.9),700,8.34,0.321,7,100 (95% CI: 78.7 to 124),6,124 (95% CI: 113 to 135),7,24.2,100,7
3,"Ethnicity, Education, Poverty Status",26,1993-2019,Non-Hispanic,All,All,<HS,In Poverty,18.3 (95% CI: 16.3 to 20.6),7,34.5 (95% CI: 32 to 37.5),8,16.2,0.624,8,11 (95% CI: 8.85 to 13.2),7,21.9 (95% CI: 19.4 to 24.8),800,10.9,0.421,8,149 (95% CI: 119 to 182),7,174 (95% CI: 153 to 197),8,24.4,100,6
3,"Ethnicity, Sex, Education",26,1993-2019,Hispanic,All,Male,<HS,All,21.4 (95% CI: 10.7 to 35.9),8,9.24 (95% CI: 6.91 to 11.9),1,-12.2,-0.468,1,15 (95% CI: 4.32 to 29.6),8,-2.57 (95% CI: -4.9 to 0.0227),100,-17.6,-0.676,1,234 (95% CI: 68.6 to 466),8,-21.7 (95% CI: -41.4 to 0.191),1,-256,91.8,1
3,"Ethnicity, Sex, Education",26,1993-2019,Non-Hispanic,All,Male,>=HS,All,6.42 (95% CI: 6.02 to 6.83),2,11.8 (95% CI: 11.4 to 12.2),2,5.39,0.207,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),200,0,0,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),2,0,100,6
3,"Ethnicity, Sex, Education",26,1993-2019,Hispanic,All,Male,>=HS,All,6.12 (95% CI: 4.19 to 8.3),1,11.9 (95% CI: 10.3 to 13.8),3,5.75,0.221,5,-0.291 (95% CI: -2.27 to 1.88),1,0.0682 (95% CI: -1.65 to 2.06),300,0.359,0.0138,5,-4.41 (95% CI: -34.5 to 30.1),1,0.612 (95% CI: -13.7 to 17.3),3,5.02,98.2,3
3,"Ethnicity, Sex, Education",26,1993-2019,Hispanic,All,Female,<HS,All,13.2 (95% CI: 9.03 to 18.5),6,13.9 (95% CI: 11 to 17),4,0.677,0.026,2,6.76 (95% CI: 2.59 to 12),6,2.05 (95% CI: -1.13 to 5.17),400,-4.71,-0.181,2,106 (95% CI: 38.9 to 188),6,17.4 (95% CI: -9.36 to 43.7),4,-88.2,95.6,2
3,"Ethnicity, Sex, Education",26,1993-2019,Hispanic,All,Female,>=HS,All,10.2 (95% CI: 7.71 to 12.7),4,15.7 (95% CI: 14 to 17.6),5,5.54,0.213,4,3.79 (95% CI: 1.27 to 6.37),4,3.94 (95% CI: 2.18 to 5.77),500,0.148,0.00569,4,59.3 (95% CI: 19.4 to 101),4,33.4 (95% CI: 18.3 to 49.4),5,-25.9,98.7,4
3,"Ethnicity, Sex, Education",26,1993-2019,Non-Hispanic,All,Female,>=HS,All,9.87 (95% CI: 9.39 to 10.3),3,16.9 (95% CI: 16.5 to 17.3),6,7.03,0.27,6,3.45 (95% CI: 2.78 to 4.13),3,5.09 (95% CI: 4.47 to 5.69),600,1.64,0.063,6,54 (95% CI: 41.7 to 67),3,43.1 (95% CI: 36.7 to 49.2),6,-10.8,99.6,5
3,"Ethnicity, Sex, Education",26,1993-2019,Non-Hispanic,All,Male,<HS,All,11.1 (95% CI: 9.3 to 13),5,23.2 (95% CI: 21.1 to 25.6),7,12.2,0.469,7,4.64 (95% CI: 2.89 to 6.51),5,11.4 (95% CI: 9.18 to 13.9),700,6.8,0.261,7,72.5 (95% CI: 43.9 to 105),5,96.9 (95% CI: 77.7 to 118),7,24.5,100,8
3,"Ethnicity, Sex, Education",26,1993-2019,Non-Hispanic,All,Female,<HS,All,16.2 (95% CI: 14.7 to 17.6),7,33.4 (95% CI: 31 to 36.3),8,17.2,0.663,8,9.74 (95% CI: 8.25 to 11.2),7,21.6 (95% CI: 19.1 to 24.5),800,11.8,0.455,8,152 (95% CI: 125 to 182),7,183 (95% CI: 161 to 209),8,30.7,100,7
3,"Ethnicity, Sex, Poverty Status",26,1993-2019,Hispanic,All,Male,All,Not In Poverty,7.04 (95% CI: 4.72 to 9.3),2,10.1 (95% CI: 8.44 to 12),1,3.05,0.117,3,1.02 (95% CI: -1.35 to 3.4),2,-1.12 (95% CI: -2.89 to 0.758),100,-2.14,-0.0821,3,17.1 (95% CI: -22.6 to 57.6),2,-9.91 (95% CI: -25.2 to 6.7),1,-27,97.6,3
