stratifications,stratifying_by,n_unsuppressed_estimates,estimate_range,ethnicity,race,sex,education,poverty,FMD_prev_2001,FMD_prev_2001_rank,FMD_prev_2019,FMD_prev_2019_rank,FMD_prev_change_2001_2019,FMD_prev_annual_change,FMD_prev_annual_change_rank,FMD_ineq_abs_2001,FMD_ineq_abs_2001_rank,FMD_ineq_abs_2019,FMD_ineq_abs_2019_rank,FMD_ineq_abs_change_2001_2019,FMD_ineq_abs_annual_change,FMD_ineq_abs_annual_change_rank,FMD_ineq_mult_2001,FMD_ineq_mult_2001_rank,FMD_ineq_mult_2019,FMD_ineq_mult_2019_rank,FMD_ineq_mult_change_2001_2019,FMD_ineq_mult_annual_change,FMD_ineq_mult_annual_change_rank
2,"Ethnicity, Poverty Status",18,2001-2019,Non-Hispanic,All,All,All,In Poverty,19.5 (95% CI: 13.3 to 24.6),4,21.1 (95% CI: 15.3 to 30.3),4,1.62,0.124,1,10.1 (95% CI: 3.77 to 15.1),4,7.94 (95% CI: 2.18 to 17.1),400,-2.12,-0.0997,1,106 (95% CI: 39.8 to 161),4,60.2 (95% CI: 16.9 to 131),4,-46.3,-2.5,1
2,"Ethnicity, Sex",18,2001-2019,Non-Hispanic,All,Male,All,All,8.3 (95% CI: 6.36 to 10.3),1,10.7 (95% CI: 8.72 to 13),1,2.37,0.119,2,-0.0826 (95% CI: -2.01 to 2.04),1,-2.08 (95% CI: -4.06 to 0),100,-2,-0.132,2,-0.937 (95% CI: -23.7 to 23.8),1,-16.3 (95% CI: -31.9 to 0),1,-15.4,-1.07,3
2,"Ethnicity, Sex",17,2001-2019,Hispanic,All,Male,All,All,12 (95% CI: 6.18 to 20.7),3,13.9 (95% CI: 10.2 to 18.1),2,1.92,0.0839,1,3.58 (95% CI: -2.25 to 12),3,1.13 (95% CI: -2.68 to 5.42),200,-2.45,-0.191,1,42.8 (95% CI: -26.8 to 140),3,8.93 (95% CI: -20.8 to 42.4),2,-33.9,-2.56,1
2,"Ethnicity, Sex",18,2001-2019,Non-Hispanic,All,Female,All,All,10.8 (95% CI: 8.35 to 12.9),2,15.7 (95% CI: 12.9 to 18.2),3,4.9,0.223,3,2.39 (95% CI: -0.039 to 4.6),2,2.93 (95% CI: 0.088 to 5.57),300,0.538,-0.028,3,28.6 (95% CI: -0.471 to 56.3),2,23 (95% CI: 0.681 to 44.3),3,-5.59,-1,4
2,"Ethnicity, Sex",18,2001-2019,Hispanic,All,Female,All,All,20.2 (95% CI: 11.1 to 31.4),4,20.6 (95% CI: 14.1 to 29.5),4,0.403,0.244,4,11.8 (95% CI: 2.7 to 23.1),4,7.82 (95% CI: 1.25 to 16.5),400,-3.96,-0.00643,4,141 (95% CI: 32.1 to 276),4,61.4 (95% CI: 9.69 to 130),4,-79.3,-1.93,2
2,"Race, Education",18,2001-2019,All,Asian,All,>=HS,All,6.15 (95% CI: 4.37 to 8.24),1,10.4 (95% CI: 8.92 to 12),1,4.3,0.211,3,-3.77 (95% CI: -5.54 to -1.66),1,-3.78 (95% CI: -5.37 to -2.24),100,-0.0111,-0.0505,4,-38 (95% CI: -56.2 to -16.8),1,-26.6 (95% CI: -37.8 to -15.9),1,11.4,0.186,6
2,"Race, Education",18,2001-2019,All,White,All,>=HS,All,9.91 (95% CI: 9.57 to 10.3),3,14.2 (95% CI: 13.9 to 14.5),2,4.31,0.262,4,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),200,0,0,5,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),2,0,0,5
2,"Race, Education",10,2005-2019,All,Asian,All,<HS,All,NA,NA,14.8 (95% CI: 8.09 to 22.6),3,NA,0.417,6,NA,NA,0.608 (95% CI: -6.07 to 8.25),300,NA,-0.063,3,NA,NA,4.29 (95% CI: -42.9 to 58.1),3,NA,-1.07,3
2,"Race, Education",18,2001-2019,All,NAAN,All,>=HS,All,17.2 (95% CI: 14 to 20.6),6,18.6 (95% CI: 16.4 to 21),4,1.45,0.127,2,7.27 (95% CI: 4.01 to 10.7),6,4.41 (95% CI: 2.19 to 6.85),400,-2.86,-0.135,2,73.4 (95% CI: 40.3 to 109),6,31 (95% CI: 15.3 to 48.3),4,-42.3,-2.21,2
2,"Race, Education",18,2001-2019,All,NAAN,All,<HS,All,16.4 (95% CI: 10.5 to 23.9),5,19.9 (95% CI: 15.4 to 24.6),5,3.53,0.0431,1,6.49 (95% CI: 0.597 to 13.8),5,5.71 (95% CI: 1.27 to 10.5),500,-0.779,-0.218,1,65.5 (95% CI: 5.99 to 139),5,40.2 (95% CI: 8.88 to 74),5,-25.3,-3.34,1
2,"Race, Education",18,2001-2019,All,NHPI,All,>=HS,All,6.57 (95% CI: 3.91 to 10),2,21.2 (95% CI: 14.3 to 30.3),6,14.6,0.738,7,-3.34 (95% CI: -6.08 to 0.255),2,6.93 (95% CI: 0.173 to 16.1),600,10.3,0.476,7,-33.7 (95% CI: -60.2 to 2.65),2,48.8 (95% CI: 1.24 to 113),6,82.4,3.55,7
2,"Race, Education",18,2001-2019,All,White,All,<HS,All,15.9 (95% CI: 14.6 to 17.3),4,21.7 (95% CI: 20.2 to 23.1),7,5.79,0.297,5,5.97 (95% CI: 4.7 to 7.43),4,7.45 (95% CI: 5.97 to 8.9),700,1.49,0.0352,6,60.2 (95% CI: 46.8 to 75.9),4,52.4 (95% CI: 41.4 to 63),7,-7.8,-1.05,4
2,"Race, Education",4,2012-2017,All,NHPI,All,<HS,All,NA,NA,NA,NA,NA,1.95,8,NA,NA,NA,NA,NA,1.48,8,NA,NA,NA,NA,NA,11.6,8
2,"Race, Ethnicity",18,2001-2019,Non-Hispanic,Asian,All,All,All,6.06 (95% CI: 4.28 to 8.34),2,10.5 (95% CI: 9.05 to 12),1,4.42,0.202,5,-4.32 (95% CI: -6.16 to -2.07),2,-4.79 (95% CI: -6.26 to -3.18),100,-0.465,-0.089,5,-41.6 (95% CI: -58.8 to -20),2,-31.3 (95% CI: -40.8 to -21.1),1,10.3,0.0175,7
2,"Race, Ethnicity",18,2001-2019,Hispanic,White,All,All,All,11.6 (95% CI: 9.62 to 14.1),4,13.1 (95% CI: 12 to 14.2),2,1.54,0.11,4,1.19 (95% CI: -0.852 to 3.66),4,-2.16 (95% CI: -3.42 to -1.06),200,-3.35,-0.181,4,11.5 (95% CI: -8.07 to 35),4,-14.1 (95% CI: -22.2 to -6.96),2,-25.6,-1.36,5
2,"Race, Ethnicity",18,2001-2019,Non-Hispanic,NHPI,All,All,All,5.85 (95% CI: 3.37 to 8.74),1,14.3 (95% CI: 10.8 to 17.7),3,8.45,0.381,8,-4.53 (95% CI: -7.03 to -1.59),1,-0.966 (95% CI: -4.43 to 2.32),300,3.57,0.0903,8,-43.6 (95% CI: -67.5 to -15.3),1,-6.32 (95% CI: -29 to 15.2),3,37.3,1.05,8
2,"Race, Ethnicity",6,2011-2019,Hispanic,Asian,All,All,All,NA,NA,14.6 (95% CI: 8.48 to 22.2),4,NA,-2.14,1,NA,NA,-0.679 (95% CI: -6.73 to 6.89),400,NA,-2.78,1,NA,NA,-4.44 (95% CI: -44.2 to 45.2),4,NA,-22.8,1
2,"Race, Ethnicity",18,2001-2019,Hispanic,NAAN,All,All,All,16.1 (95% CI: 10.1 to 23.2),5,14.9 (95% CI: 12.1 to 18.5),5,-1.16,-0.0443,3,5.69 (95% CI: -0.426 to 12.8),5,-0.357 (95% CI: -3.15 to 3.15),500,-6.05,-0.335,3,54.8 (95% CI: -4.01 to 122),5,-2.33 (95% CI: -20.5 to 20.7),5,-57.2,-3.18,3
2,"Race, Ethnicity",18,2001-2019,Non-Hispanic,White,All,All,All,10.4 (95% CI: 10.1 to 10.7),3,15.3 (95% CI: 15 to 15.6),6,4.89,0.291,7,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),600,0,0,7,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),6,0,0,6
2,"Race, Ethnicity",18,2001-2019,Non-Hispanic,NAAN,All,All,All,17.4 (95% CI: 14.6 to 20.4),6,21.5 (95% CI: 19 to 24.4),7,4.09,0.221,6,7.03 (95% CI: 4.37 to 10.1),6,6.24 (95% CI: 3.75 to 9.13),700,-0.793,-0.0701,6,67.7 (95% CI: 41.7 to 97.5),6,40.9 (95% CI: 24.5 to 59.4),7,-26.9,-1.83,4
2,"Race, Ethnicity",9,2006-2018,Hispanic,NHPI,All,All,All,NA,NA,NA,NA,NA,-1.15,2,NA,NA,NA,NA,NA,-1.43,2,NA,NA,NA,NA,NA,-13.4,2
2,"Race, Poverty Status",18,2001-2019,All,Asian,All,All,Not In Poverty,4.68 (95% CI: 3.06 to 6.39),1,9.64 (95% CI: 8.32 to 11.1),1,4.96,0.214,6,-4.92 (95% CI: -6.55 to -3.1),1,-3.35 (95% CI: -4.78 to -1.84),100,1.57,0.00294,6,-51.2 (95% CI: -67.4 to -32.7),1,-25.8 (95% CI: -36.3 to -14.2),1,25.4,0.591,7
2,"Race, Poverty Status",18,2001-2019,All,White,All,All,Not In Poverty,9.6 (95% CI: 9.26 to 9.96),3,13 (95% CI: 12.7 to 13.3),2,3.39,0.211,5,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),200,0,0,5,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),2,0,0,6
2,"Race, Poverty Status",18,2001-2019,All,NHPI,All,All,Not In Poverty,7.67 (95% CI: 4.11 to 14.1),2,14.3 (95% CI: 10.2 to 18.7),3,6.6,0.311,7,-1.94 (95% CI: -5.55 to 4.45),2,1.27 (95% CI: -2.67 to 5.84),300,3.21,0.0998,7,-20.1 (95% CI: -57.4 to 46.6),2,9.78 (95% CI: -20.6 to 45),3,29.9,0.819,8
2,"Race, Poverty Status",17,2001-2019,All,Asian,All,All,In Poverty,15.3 (95% CI: 6.91 to 24.8),5,14.4 (95% CI: 10.7 to 18.7),4,-0.843,0.00896,3,5.65 (95% CI: -2.8 to 15.1),5,1.42 (95% CI: -2.35 to 5.71),400,-4.23,-0.218,3,58.9 (95% CI: -29 to 157),5,10.9 (95% CI: -18.1 to 43.4),4,-48,-2.59,3
2,"Race, Poverty Status",18,2001-2019,All,NAAN,All,All,Not In Poverty,14.2 (95% CI: 11.2 to 17.7),4,17.6 (95% CI: 15 to 20.4),5,3.45,0.169,4,4.59 (95% CI: 1.38 to 8.14),4,4.65 (95% CI: 1.98 to 7.39),500,0.0611,-0.0421,4,47.8 (95% CI: 14.1 to 85.3),4,35.8 (95% CI: 15.2 to 56.9),5,-12,-1.26,4
2,"Race, Poverty Status",18,2001-2019,All,NAAN,All,All,In Poverty,25.1 (95% CI: 17.6 to 33.2),7,21.3 (95% CI: 17.9 to 24.7),6,-3.87,-0.139,2,15.5 (95% CI: 7.98 to 23.4),7,8.28 (95% CI: 5.08 to 11.8),600,-7.26,-0.35,2,162 (95% CI: 84.3 to 244),7,63.7 (95% CI: 38.4 to 92.3),6,-98.2,-5.14,2
2,"Race, Poverty Status",18,2001-2019,All,White,All,All,In Poverty,18.5 (95% CI: 17 to 19.9),6,26.1 (95% CI: 25 to 27.3),7,7.68,0.41,8,8.86 (95% CI: 7.45 to 10.3),6,13.1 (95% CI: 12 to 14.3),700,4.29,0.199,8,92.3 (95% CI: 75.8 to 108),6,101 (95% CI: 91.4 to 111),7,8.91,-0.17,5
2,"Race, Poverty Status",9,2010-2018,All,NHPI,All,All,In Poverty,NA,NA,NA,NA,NA,-0.629,1,NA,NA,NA,NA,NA,-0.958,1,NA,NA,NA,NA,NA,-13.5,1
2,"Race, Sex",18,2001-2019,All,Asian,Male,All,All,7.12 (95% CI: 4.49 to 10.2),2,8.57 (95% CI: 7 to 10.1),1,1.45,0.0983,1,-1.38 (95% CI: -4.16 to 1.71),2,-3.73 (95% CI: -5.33 to -2.08),100,-2.35,-0.128,1,-16.1 (95% CI: -48.1 to 20.6),2,-30.3 (95% CI: -43.6 to -17.1),1,-14.2,-0.708,3
2,"Race, Sex",18,2001-2019,All,White,Male,All,All,8.5 (95% CI: 8.03 to 9.04),4,12.3 (95% CI: 11.9 to 12.7),2,3.8,0.226,4,0 (95% CI: 0 to 0),4,0 (95% CI: 0 to 0),200,0,0,4,0 (95% CI: 0 to 0),4,0 (95% CI: 0 to 0),2,0,0,5
2,"Race, Sex",18,2001-2019,All,Asian,Female,All,All,5.28 (95% CI: 3.4 to 7.91),1,12.7 (95% CI: 10.2 to 15.2),3,7.43,0.306,5,-3.22 (95% CI: -5.26 to -0.555),1,0.406 (95% CI: -2.31 to 2.79),300,3.63,0.0797,6,-37.8 (95% CI: -61 to -6.58),1,3.33 (95% CI: -18.5 to 22.9),3,41.2,0.843,7
2,"Race, Sex",15,2004-2019,All,NHPI,Male,All,All,NA,NA,14.5 (95% CI: 9.15 to 21.1),4,NA,0.333,7,NA,NA,2.23 (95% CI: -3.02 to 8.75),400,NA,0.064,5,NA,NA,18.1 (95% CI: -24.9 to 71.4),4,NA,0.151,6
2,"Race, Sex",18,2001-2019,All,NAAN,Male,All,All,11.9 (95% CI: 8.48 to 16.9),5,15.9 (95% CI: 13.3 to 18.8),5,4.02,0.105,2,3.4 (95% CI: -0.0495 to 8.08),5,3.61 (95% CI: 0.938 to 6.55),500,0.217,-0.121,2,40.1 (95% CI: -0.581 to 93.7),5,29.4 (95% CI: 7.69 to 53.5),5,-10.7,-2.23,2
2,"Race, Sex",18,2001-2019,All,White,Female,All,All,12.5 (95% CI: 12.1 to 12.9),6,17.6 (95% CI: 17.1 to 18.1),6,5.11,0.308,6,4.01 (95% CI: 3.39 to 4.68),6,5.32 (95% CI: 4.66 to 5.99),600,1.31,0.0813,7,47.3 (95% CI: 37.8 to 57.8),6,43.3 (95% CI: 37.3 to 49.4),6,-4,-0.201,4
2,"Race, Sex",18,2001-2019,All,NAAN,Female,All,All,23.3 (95% CI: 18.4 to 28),7,22.7 (95% CI: 19.5 to 26),7,-0.591,0.12,3,14.8 (95% CI: 10.1 to 19.6),7,10.4 (95% CI: 7.1 to 13.6),700,-4.39,-0.107,3,174 (95% CI: 120 to 234),7,84.7 (95% CI: 57.2 to 110),7,-89.8,-3.53,1
2,"Race, Sex",18,2001-2019,All,NHPI,Female,All,All,7.19 (95% CI: 3.85 to 11.7),3,29.8 (95% CI: 19.4 to 43.4),8,22.6,1.13,8,-1.31 (95% CI: -4.73 to 3.3),3,17.5 (95% CI: 7.11 to 30.9),800,18.8,0.899,8,-15.3 (95% CI: -55 to 38.8),3,142 (95% CI: 57.5 to 252),8,157,6.82,8
2,"Sex, Education",18,2001-2019,All,All,Male,>=HS,All,8.06 (95% CI: 6.04 to 10.3),1,10.6 (95% CI: 8.92 to 12.1),1,2.57,0.141,2,0.0314 (95% CI: -2.02 to 2.2),1,-1.19 (95% CI: -2.92 to 0),100,-1.22,-0.0816,2,0.479 (95% CI: -24.4 to 27.8),1,-10.1 (95% CI: -24.7 to 0),1,-10.5,-0.741,4
2,"Sex, Education",18,2001-2019,All,All,Female,>=HS,All,11.3 (95% CI: 9.03 to 13.1),2,15.6 (95% CI: 13.1 to 17.3),2,4.29,0.216,3,3.28 (95% CI: 0.789 to 5.16),2,3.78 (95% CI: 1.23 to 5.56),200,0.504,-0.00677,3,41 (95% CI: 9.52 to 64.5),2,32 (95% CI: 10.5 to 47.2),2,-8.95,-0.98,3
2,"Sex, Education",18,2001-2019,All,All,Male,<HS,All,14.7 (95% CI: 9.04 to 23.1),3,16.5 (95% CI: 11.7 to 20.6),3,1.74,-0.0782,1,6.71 (95% CI: 0.924 to 15.1),3,4.66 (95% CI: -0.185 to 8.76),300,-2.05,-0.301,1,83.8 (95% CI: 11.1 to 192),3,39.5 (95% CI: -1.55 to 74.7),3,-44.3,-4.86,1
2,"Sex, Education",18,2001-2019,All,All,Female,<HS,All,17.9 (95% CI: 10.6 to 26.9),4,23.2 (95% CI: 16.5 to 29),4,5.34,0.34,4,9.86 (95% CI: 2.52 to 19),4,11.4 (95% CI: 4.7 to 17.2),400,1.55,0.117,4,123 (95% CI: 31.6 to 239),4,96.7 (95% CI: 39.6 to 146),4,-26.4,-1.24,2
2,"Sex, Poverty Status",18,2001-2019,All,All,Male,All,Not In Poverty,6.95 (95% CI: 4.94 to 8.69),1,10.2 (95% CI: 8.44 to 11.5),1,3.24,0.141,2,-0.864 (95% CI: -3 to 0.903),1,-0.902 (95% CI: -2.64 to 0.393),100,-0.0376,-0.0572,2,-11 (95% CI: -37.1 to 12.2),1,-8.11 (95% CI: -24 to 3.62),1,2.87,-0.542,4
2,"Sex, Poverty Status",18,2001-2019,All,All,Female,All,Not In Poverty,10.1 (95% CI: 7.67 to 11.9),2,13.8 (95% CI: 11.3 to 15.6),2,3.68,0.172,3,2.27 (95% CI: -0.185 to 4.2),2,2.67 (95% CI: 0.184 to 4.62),200,0.402,-0.026,3,29.2 (95% CI: -2.31 to 55.7),2,24.1 (95% CI: 1.6 to 42.4),2,-5.06,-0.966,3
2,"Sex, Poverty Status",18,2001-2019,All,All,Male,All,In Poverty,18.2 (95% CI: 12.2 to 26.5),3,15.8 (95% CI: 11 to 23),3,-2.36,-0.0701,1,10.4 (95% CI: 4.32 to 18.8),3,4.72 (95% CI: -0.153 to 11.9),300,-5.64,-0.268,1,133 (95% CI: 53.9 to 244),3,42.6 (95% CI: -1.38 to 109),3,-90.2,-4.56,1
2,"Sex, Poverty Status",18,2001-2019,All,All,Female,All,In Poverty,19.7 (95% CI: 13.3 to 26),4,23.5 (95% CI: 17.9 to 27.9),4,3.8,0.241,4,11.9 (95% CI: 5.35 to 18.2),4,12.4 (95% CI: 6.82 to 16.9),400,0.518,0.0433,4,152 (95% CI: 66.3 to 241),4,112 (95% CI: 61.2 to 154),4,-40.4,-2.31,2
